Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-29JUL22-14000-P,0.0035,8.5,109.67,0.003,0.0031,0.0035,112.61,18.9,58.5,-0.01803,-,5.09635,-5.48,-0.91296,2
BTC-29JUL22-40000-P,0.318,-,-,-,0.3197,0.5095,199.34,0.1,47.2,-0.85975,0.00003,25.602,-14.89438,-50.89116,-
BTC-29JUL22-36000-C,0.0278,8,58.98,0.0325,0.033,0.034,60.19,11.3,408.3,0.26947,0.00005,37.96752,-21.89878,10.20393,53.3
BTC-29JUL22-44000-C,0.006,34.7,61.8,0.007,0.0073,0.008,63.63,19.1,314.9,0.07545,0.00002,16.33755,-9.89143,2.94105,1.2
BTC-29JUL22-100000-C,0.0005,-,-,-,0.0001,0.0005,111.25,3,43.5,0.00088,-,0.34571,-0.32105,0.03471,-
BTC-29JUL22-25000-C,0.2075,-,-,-,0.2172,0.367,200.35,0.1,-,0.80939,0.00003,31.23694,-22.25101,25.55283,-
BTC-29JUL22-46000-C,0.006,56.3,63.01,0.005,0.0054,0.006,65.3,7.4,323.4,0.05687,0.00002,13.12243,-8.14239,2.22229,-
BTC-29JUL22-10000-P,0.001,111.8,119.25,0.0005,0.001,0.0015,137.11,14.9,389.8,-0.00541,-,1.7819,-2.24301,-0.27521,-
BTC-29JUL22-30000-C,0.1175,7.2,63.27,0.104,0.1053,0.1065,64.98,8.7,676.6,0.58127,0.00005,44.87794,-27.86284,20.53914,28.8
BTC-29JUL22-80000-C,0.0005,-,-,-,0.0005,0.001,100.07,82.7,49.2,0.00488,-,1.62658,-1.46897,0.18952,-
BTC-29JUL22-80000-P,-,-,-,-,1.6105,-,-,-,-,-0.99512,-,1.62658,-1.46897,-112.42692,-
BTC-29JUL22-60000-C,0.001,6.1,74.19,0.001,0.0013,0.0015,78.05,2.6,147.3,0.01364,-,4.0086,-2.97534,0.5339,20
BTC-29JUL22-50000-P,0.578,-,-,-,0.6345,-,-,-,25,-0.96545,0.00001,8.78315,-5.74653,-69.03215,-
BTC-29JUL22-30000-P,0.072,7.9,62.76,0.083,0.084,0.0845,63.79,1,1729.8,-0.41873,0.00005,44.87794,-27.86284,-21.69202,88.6
BTC-29JUL22-25000-P,0.028,11.2,72.29,0.032,0.0328,0.0335,73.77,44.5,2667.8,-0.19011,0.00003,31.20279,-22.22668,-9.61851,372.9
BTC-29JUL22-26000-P,0.035,16,69.87,0.039,0.0399,0.0405,71.2,13.4,1228.3,-0.22727,0.00004,34.65149,-23.90747,-11.52749,171
BTC-29JUL22-28000-C,0.1385,8,55.79,0.13,0.145,0.1825,94.92,14,441.3,0.68566,0.00005,40.79524,-26.59109,23.32759,-
BTC-29JUL22-70000-P,-,-,-,-,1.2845,-,-,-,-,-0.9928,-,2.29583,-1.88952,-98.25834,-
BTC-29JUL22-35000-C,0.048,73.4,58.87,0.0395,0.0405,0.0415,60.37,9,312.6,0.31393,0.00005,40.77214,-23.61604,11.79763,1.3
BTC-29JUL22-14000-C,-,-,-,-,0.5464,-,-,-,-,0.98191,-,5.10667,-5.4911,18.79262,-
BTC-29JUL22-22000-P,0.018,5.3,80.32,0.0175,0.018,0.0185,81.76,32.2,633.1,-0.10812,0.00002,21.33619,-16.87608,-5.44328,9.6
BTC-29JUL22-28000-P,0.049,7.7,66.07,0.0575,0.0585,0.0595,67.57,41.5,1080.7,-0.31434,0.00005,40.79524,-26.59109,-16.08817,235.3
BTC-29JUL22-70000-C,0.001,12.5,81.82,0.0005,0.0007,0.0015,92.56,102.9,86.5,0.00723,-,2.30583,-1.89775,0.2824,0.5
BTC-29JUL22-18000-C,-,-,-,-,0.4206,-,-,-,-,0.95292,0.00001,11.29293,-10.39999,22.96626,-
BTC-29JUL22-24000-C,0.256,0.1,-,0.061,0.2439,0.3825,200.52,0.1,0.1,0.84125,0.00003,27.80978,-20.48886,25.77327,-
BTC-29JUL22-22000-C,-,10,-,0.0005,0.3003,-,-,-,-,0.89188,0.00002,21.33619,-16.87608,25.52624,-
BTC-29JUL22-26000-C,0.2145,-,-,-,0.1916,0.3525,200.29,0.1,14.4,0.77329,0.00004,34.62011,-23.88581,25.09724,-
BTC-29JUL22-45000-C,0.005,7.4,62.6,0.006,0.0062,0.007,64.64,20.4,313.3,0.06478,0.00002,14.52867,-8.88057,2.52944,0.2
BTC-29JUL22-45000-P,-,-,-,-,0.4743,-,-,-,-,-0.93522,0.00002,14.52867,-8.88057,-60.81731,-
BTC-29JUL22-10000-C,-,-,-,-,0.6747,-,-,-,-,0.99461,-,1.77812,-2.23826,13.80253,-
BTC-29JUL22-20000-P,0.012,15.1,86.45,0.0115,0.0121,0.0125,88.4,22.9,2081.8,-0.07237,0.00001,15.82548,-13.51318,-3.64386,21
