Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-17JUN22-15000-C,-,3,-,0.4485,0.5088,0.549,460.84,33.2,-,0.99957,-,0.07276,-0.59316,3.58829,-
BTC-17JUN22-35000-P,0.1563,-,-,-,0.151,0.218,200.7,0.1,65,-0.8994,0.00006,8.32839,-31.61176,-7.67923,-
BTC-17JUN22-31000-P,0.0445,10.4,65.02,0.0485,0.0493,0.05,67.46,9.9,188.6,-0.53828,0.00013,18.76275,-71.1757,-4.2959,49.9
BTC-17JUN22-50000-C,0.0005,-,-,-,-,0.0005,127.37,81.2,9.7,0.00009,-,0.01772,-0.08505,0.00067,-
BTC-17JUN22-28000-C,0.088,49,-,0.054,0.0976,0.164,200.13,33.1,35.1,0.78942,0.00008,13.63925,-58.55083,5.05755,-
BTC-17JUN22-36000-C,0.0025,98.1,65.99,0.0025,0.0028,0.0035,70.99,96.5,322.2,0.06424,0.00004,5.93648,-22.98286,0.44909,35.1
BTC-17JUN22-25000-C,-,3,-,0.066,0.1856,0.2665,287.94,3.2,-,0.9328,0.00003,6.14749,-31.85599,5.46271,-
BTC-17JUN22-36000-P,0.157,-,-,-,0.1818,0.5815,500,3,0.2,-0.93576,0.00004,5.93648,-22.98286,-8.17077,-
BTC-17JUN22-23000-P,0.002,114.2,97.19,0.0015,0.0021,0.0025,106.6,69.7,324.2,-0.03141,0.00001,3.33957,-19.64638,-0.24473,17.4
BTC-17JUN22-34000-C,0.0085,61,64.35,0.0075,0.0078,0.008,65.71,2.9,1281.9,0.15459,0.00008,11.23929,-41.85383,1.07345,561.6
BTC-17JUN22-26000-P,0.006,70.1,83.13,0.006,0.0064,0.007,86.85,111.6,622.1,-0.09837,0.00004,8.19306,-39.74495,-0.76628,296.6
BTC-17JUN22-45000-C,0.0005,-,-,-,0.0001,0.0005,103.64,60.9,307.8,0.00173,-,0.26312,-1.26268,0.01222,-
BTC-17JUN22-35000-C,0.004,44.8,65.63,0.0045,0.0047,0.005,67.45,15.8,555.8,0.1006,0.00006,8.32839,-31.61176,0.70119,88.2
BTC-17JUN22-15000-P,0.0005,-,-,-,-,0.0005,188.82,59.6,358.4,-0.00043,-,0.07276,-0.59316,-0.00332,-
BTC-17JUN22-40000-C,0.0005,-,-,-,0.0007,0.001,83.72,44.7,404.4,0.01565,0.00001,1.85562,-8.36632,0.10963,20
BTC-17JUN22-20000-P,0.0005,37,117.63,0.0005,0.0007,0.001,129.28,71.7,536.6,-0.0107,-,1.33549,-9.47512,-0.08366,23.5
BTC-17JUN22-22000-C,-,3.2,-,0.161,0.281,0.3615,365.63,3.2,-,0.97755,0.00001,2.52303,-15.92673,5.09244,-
