Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-30DEC22-150000-C,0.0025,69.1,81.45,0.002,0.0025,0.003,85.29,30.8,927.4,0.0135,-,8.04092,-1.63624,1.92353,-
BTC-30DEC22-20000-P,0.0553,13.1,75.02,0.0545,0.0556,0.056,75.9,3.1,992.8,-0.1445,0.00001,52.9025,-9.77454,-34.86449,464.8
BTC-30DEC22-40000-C,0.0985,29.1,62.77,0.098,0.0997,0.1005,63.65,2.6,430.8,0.38379,0.00003,88.84572,-13.74888,49.49948,31.4
BTC-30DEC22-32000-P,0.2175,9,64.09,0.208,0.2114,0.212,65.46,18,111.8,-0.42721,0.00003,91.26228,-14.5418,-111.26838,2
BTC-30DEC22-60000-C,0.0265,35.2,64.71,0.0265,0.0273,0.028,65.63,40.8,690,0.13472,0.00001,50.44054,-8.02988,18.72275,9.9
BTC-30DEC22-24000-P,0.094,10.5,70.36,0.0915,0.0925,0.093,71.02,12.4,250.5,-0.22617,0.00002,69.97879,-12.10402,-55.53612,15.8
BTC-30DEC22-34000-P,0.283,33,63.39,0.2475,0.2508,0.2565,66.41,33,29.4,-0.47855,0.00003,92.64796,-14.59229,-127.04134,-
BTC-30DEC22-250000-P,-,-,-,-,7.0488,-,-,-,-,-0.9952,-,3.24318,-0.7492,-1401.64869,-
BTC-30DEC22-35000-C,0.1445,1,63.83,0.1435,0.1447,0.145,64.33,2.7,224.6,0.49669,0.00003,92.77891,-14.55092,61.31694,3.1
BTC-30DEC22-30000-C,0.209,1,65.19,0.207,0.2096,0.211,66.59,7.9,526.8,0.62439,0.00002,88.23473,-14.22996,72.28116,0.1
BTC-30DEC22-80000-P,0.9715,-,-,-,1.5867,-,-,-,2.8,-0.93923,0.00001,27.99059,-4.77103,-440.14123,-
BTC-30DEC22-45000-C,0.07,28,62.88,0.0685,0.0696,0.07,63.46,2.6,844.4,0.2926,0.00002,79.94233,-12.35392,38.85442,31.2
BTC-30DEC22-38000-P,-,-,-,-,0.3391,0.7235,199.96,0.1,-,-0.57349,0.00003,91.20353,-14.17503,-159.0099,-
BTC-30DEC22-150000-P,-,-,-,-,3.8312,-,-,-,-,-0.98649,-,8.05255,-1.63861,-839.4718,-
BTC-30DEC22-35000-P,0.251,66.6,41.44,0.204,0.2715,0.643,198.9,25,98.3,-0.50305,0.00003,92.80892,-14.55563,-134.96339,-
BTC-30DEC22-90000-C,0.009,2.5,71.81,0.008,0.0082,0.009,73.2,56.8,1190.4,0.04458,0.00001,21.87804,-3.85351,6.33274,5.4
BTC-30DEC22-55000-P,0.8775,-,-,-,0.8069,1.1855,200.07,0.1,1.3,-0.82746,0.00002,59.43287,-9.34192,-284.78746,-
BTC-30DEC22-100000-P,1.49,-,-,-,2.2255,-,-,-,1.1,-0.96522,-,17.88429,-3.25611,-555.98507,-
BTC-30DEC22-120000-C,0.0045,4.8,78.26,0.004,0.004,0.0045,79.48,25,937.8,0.02205,-,12.23114,-2.33776,3.14431,7.8
BTC-30DEC22-30000-P,0.1715,10,65.39,0.1735,0.1753,0.1765,66.45,5.9,1090.3,-0.37537,0.00002,88.24479,-14.23158,-95.95602,23.2
BTC-30DEC22-200000-P,-,-,-,-,5.4397,-,-,-,-,-0.99229,-,4.93567,-1.086,-1120.7688,-
BTC-30DEC22-38000-C,0.112,11.5,63.04,0.114,0.1158,0.1165,63.89,2.4,89.4,0.42678,0.00003,91.24381,-14.18129,54.18996,1.4
BTC-30DEC22-32000-C,0.181,1,64.88,0.18,0.1812,0.182,65.56,2.1,241.4,0.57254,0.00003,91.24414,-14.53891,68.18546,11.5
BTC-30DEC22-34000-C,0.1465,1,64.16,0.155,0.156,0.1565,64.66,2.8,101,0.52171,0.00003,92.67413,-14.59642,63.72133,0.1
BTC-30DEC22-26000-P,0.1165,35.9,68.35,0.115,0.1164,0.117,69.15,10.9,125,-0.27357,0.00002,77.40251,-13.03975,-67.95862,6.7
BTC-30DEC22-25000-P,0.102,11.9,69.22,0.1025,0.104,0.1045,70.06,12.3,2107.7,-0.24931,0.00002,73.8212,-12.58987,-61.55623,2.5
BTC-30DEC22-22000-C,-,9,70.7,0.3595,0.364,0.3685,75.24,9,-,0.8171,0.00002,61.66021,-10.99102,78.94397,-
BTC-30DEC22-40000-P,0.3935,75,-,0.02,0.3874,0.75,189.77,1,551.5,-0.61646,0.00003,88.79984,-13.74178,-174.91802,-
BTC-30DEC22-10000-C,-,12,88.73,0.6845,0.6886,0.6915,103.89,12,-,0.972,-,14.94116,-3.57486,49.38812,-
BTC-30DEC22-36000-C,0.138,3.9,63.57,0.133,0.1345,0.1355,64.41,12,326.3,0.47267,0.00003,92.5643,-14.47248,58.93,53
BTC-30DEC22-36000-P,0.2665,25,63.05,0.2905,0.2934,0.669,199.03,25,2.4,-0.52707,0.00003,92.59795,-14.47774,-142.95962,-
BTC-30DEC22-15000-C,0.5555,10,74.36,0.534,0.5435,0.5475,88.31,21.3,3.8,0.92877,0.00001,31.65653,-6.53234,67.12883,-
BTC-30DEC22-80000-C,0.0115,15.6,69.38,0.011,0.0114,0.012,70.49,63.3,3445.5,0.0607,0.00001,27.95533,-4.76502,8.59183,20.9
BTC-30DEC22-28000-C,0.245,9,65.86,0.2385,0.2427,0.247,69.02,12.4,23.9,0.67654,0.00002,83.56893,-13.76042,75.5903,-
BTC-30DEC22-300000-P,5.561,5,-,0.0005,8.6582,-,-,-,2.4,-0.99623,-,2.61273,-0.63457,-1682.26408,-
BTC-30DEC22-24000-C,-,9,68.92,0.3155,0.3199,0.3245,72.92,9,-,0.77365,0.00002,69.98806,-12.10563,79.05619,-
BTC-30DEC22-70000-P,1.373,-,-,-,1.2703,-,-,-,7.3,-0.91254,0.00001,36.97002,-6.08917,-380.35355,-
BTC-30DEC22-55000-C,0.036,31.7,63.93,0.0355,0.0364,0.037,64.71,15.2,281.9,0.17237,0.00002,59.37694,-9.33313,23.69592,28.5
BTC-30DEC22-20000-C,0.408,13.4,73.15,0.4075,0.4118,0.416,78.14,9,35.6,0.8555,0.00001,52.9025,-9.77454,77.32196,-
