Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-30SEP22-25000-C,0.23,20.1,67.92,0.2505,0.2538,0.2575,72.03,8,84.5,0.76783,0.00003,52.51746,-16.12893,49.36949,-
BTC-30SEP22-10000-P,0.0045,72.8,105.59,0.0035,0.004,0.0045,110.31,40.6,193.4,-0.01521,-,6.59321,-3.13795,-1.84943,25.5
BTC-30SEP22-34000-C,0.1005,46,61.73,0.098,0.099,0.0995,62.4,4,172.1,0.45646,0.00004,68.22786,-18.64777,34.33203,38.2
BTC-30SEP22-28000-P,0.1045,9,65.82,0.098,0.0991,0.099,66.32,3.1,526.2,-0.32839,0.00003,62.18569,-18.13748,-41.05374,4
BTC-30SEP22-70000-C,0.005,19.9,71.92,0.0045,0.0049,0.0055,74.22,81.3,1897.8,0.03469,0.00001,13.19883,-4.22292,2.86535,6
BTC-30SEP22-32000-C,0.1246,30.8,62.58,0.123,0.1243,0.125,63.48,3.6,285.2,0.52787,0.00004,68.47059,-19.01868,38.75667,25
BTC-30SEP22-35000-C,0.089,25,61.51,0.0875,0.0881,0.0885,61.97,7.5,506.4,0.42224,0.00004,67.32866,-18.29157,32.08766,12.2
BTC-30SEP22-350000-P,-,-,-,-,10.3558,-,-,-,-,-0.99978,-,0.14377,-0.07183,-1090.64181,-
BTC-30SEP22-90000-P,1.1645,1,-,0.3,1.922,-,-,-,17.5,-0.98572,-,6.24515,-2.18526,-279.27174,-
BTC-30SEP22-250000-P,-,-,-,-,7.1114,-,-,-,-,-0.99883,-,0.6686,-0.32846,-778.94753,-
BTC-30SEP22-55000-C,0.012,98.9,64.72,0.011,0.0118,0.0125,66.51,51.6,1295.9,0.08134,0.00001,25.89972,-7.47866,6.67834,2
BTC-30SEP22-34000-P,0.2105,33,60.98,0.1995,0.2021,0.206,63.92,9,67.1,-0.54352,0.00004,68.22931,-18.64817,-71.61604,-
BTC-30SEP22-25000-P,0.068,1,69.61,0.0645,0.0649,0.065,69.9,2.3,1695.2,-0.23217,0.00003,52.51746,-16.12893,-28.53481,22.9
BTC-30SEP22-26000-P,0.0735,32.7,67.97,0.074,0.0751,0.075,68.52,3,819.4,-0.26247,0.00003,56.07865,-16.9042,-32.41984,526.1
BTC-30SEP22-100000-P,1,-,-,-,2.2459,-,-,-,1,-0.98956,-,4.76299,-1.737,-310.75199,-
BTC-30SEP22-36000-C,0.079,47,61.08,0.0775,0.0784,0.079,61.78,15.6,70.3,0.38944,0.00004,65.98345,-17.8408,29.87072,5
BTC-30SEP22-20000-C,0.365,8,74.42,0.3765,0.3809,0.3855,82.78,8,40.9,0.88598,0.00001,33.1919,-11.46182,48.51477,-
BTC-30SEP22-30000-P,0.1285,1,64.01,0.127,0.1281,0.1285,64.71,3.7,1866.8,-0.39937,0.00003,66.44184,-18.8418,-50.65651,7
BTC-30SEP22-65000-P,0.664,-,-,-,1.1149,-,-,-,2.2,-0.95681,0.00001,15.77708,-4.85355,-198.9811,-
BTC-30SEP22-22000-C,-,8,71.35,0.323,0.3271,0.331,77.4,8,-,0.84578,0.00002,40.86143,-13.38525,49.81157,-
BTC-30SEP22-70000-P,1.212,1,-,0.1,1.276,-,-,-,30.7,-0.96531,0.00001,13.19883,-4.22292,-215.26669,-
BTC-30SEP22-45000-C,0.028,33,61.46,0.028,0.0284,0.029,62.15,25.4,2475.5,0.1774,0.00002,44.73314,-12.14594,14.30612,75.8
BTC-30SEP22-26000-C,0.2335,1,66.65,0.228,0.2315,0.234,69.95,11,3.8,0.73752,0.00003,56.07925,-16.90438,48.5993,-
BTC-30SEP22-35000-P,0.2365,1,59.4,0.2185,0.2237,0.2285,63.97,1,1840.4,-0.57773,0.00004,67.33124,-18.29229,-76.9757,-
BTC-30SEP22-36000-P,-,5,58.47,0.24,0.2465,0.252,64.08,5,-,-0.61054,0.00004,65.98636,-17.84158,-82.30886,-
BTC-30SEP22-40000-P,0.361,1,57.2,0.34,0.3471,0.3535,64.46,24.4,834.3,-0.72388,0.00003,57.52237,-15.44047,-102.85545,-
BTC-30SEP22-28000-C,0.173,10,65.07,0.188,0.1906,0.1945,68.29,1,63.5,0.67161,0.00003,62.18569,-18.13748,46.19907,-
BTC-30SEP22-60000-C,0.008,105.2,66.66,0.0075,0.0081,0.0085,68.23,6.2,1761.6,0.0573,0.00001,19.76784,-5.87067,4.72915,23.4
BTC-30SEP22-80000-P,0.6275,1,-,0.2,1.5985,-,-,-,25,-0.97863,-,8.81062,-2.95543,-247.52412,-
BTC-30SEP22-150000-C,0.0005,-,-,-,0.0003,0.001,102.1,37.1,675.7,0.00224,-,1.20919,-0.48646,0.18682,-
BTC-30SEP22-55000-P,0.355,10,-,0.784,0.7963,-,-,-,1.8,-0.91866,0.00001,25.90174,-7.47924,-164.71048,-
BTC-30SEP22-10000-C,0.6835,11,92.27,0.677,0.6796,0.6815,116.2,11,5.5,0.98479,-,6.59321,-3.13795,29.31229,-
BTC-30SEP22-65000-C,0.007,68.2,68.94,0.0055,0.006,0.0065,70.9,15.5,563.4,0.04319,0.00001,15.77708,-4.85355,3.57007,-
BTC-30SEP22-30000-C,0.1525,1,64.19,0.154,0.1547,0.1555,64.88,2.7,609.6,0.60065,0.00003,66.44216,-18.84189,42.83032,7.8
BTC-30SEP22-45000-P,0.503,-,-,-,0.4885,0.776,199.54,1,396.4,-0.82259,0.00002,44.73581,-12.14666,-125.92044,-
BTC-30SEP22-350000-C,0.0005,-,-,-,-,0.0005,137.28,28,161.6,0.00022,-,0.14377,-0.07183,0.01838,-
BTC-30SEP22-22000-P,0.0415,81.2,73.8,0.04,0.0409,0.041,74.56,2,188,-0.15422,0.00002,40.86143,-13.38525,-18.74421,5.2
BTC-30SEP22-90000-C,0.002,78.4,77.15,0.0015,0.002,0.0025,82.07,16.4,1586.1,0.01428,-,6.24515,-2.18526,1.18374,-
BTC-30SEP22-150000-P,1.93,-,-,-,3.8671,-,-,-,0.1,-0.99776,-,1.20931,-0.48651,-467.23895,-
BTC-30SEP22-200000-P,-,-,-,-,5.4892,-,-,-,-,-0.9986,-,0.78721,-0.35401,-623.11901,-
BTC-30SEP22-15000-C,0.536,9,81.86,0.521,0.5255,0.53,98.54,9,26.5,0.95277,0.00001,16.95443,-6.77825,41.03601,-
BTC-30SEP22-15000-P,0.0125,61.4,89.68,0.0115,0.0122,0.0125,91.51,22,1477.3,-0.04723,0.00001,16.9538,-6.77799,-5.70627,11
BTC-30SEP22-24000-C,-,8,68.27,0.2725,0.2772,0.281,73.66,8,-,0.79606,0.00002,48.73352,-15.26923,49.83223,-
