Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-24JUN22-44000-C,0.001,73.2,72.73,0.0005,0.0007,0.001,79.59,20.4,934.5,0.01368,0.00001,2.2265,-5.38771,0.17126,87.3
BTC-24JUN22-52000-C,0.0005,-,-,-,0.0002,0.001,109.45,153,311.4,0.00294,-,0.57154,-1.62297,0.03677,-
BTC-24JUN22-90000-C,0.0005,-,-,-,-,0.0005,185.47,71,1817.5,0.00001,-,0.00335,-0.01268,0.00015,-
BTC-24JUN22-50000-P,0.6715,3,-,0.0305,0.6316,1.031,500,3.2,474.4,-0.99486,-,0.94289,-2.65498,-21.49882,-
BTC-24JUN22-33000-P,0.083,27.1,57.6,0.097,0.1003,0.104,67.2,20.9,519,-0.69411,0.00009,22.32405,-44.09865,-10.50048,6.1
BTC-24JUN22-24000-C,0.2555,15.3,77.76,0.221,0.2236,0.2265,96.6,26.2,0.1,0.92427,0.00003,9.07684,-25.27641,9.26112,-
BTC-24JUN22-29000-P,0.032,70.7,67.32,0.0315,0.0321,0.0325,68.66,27.3,621.7,-0.32202,0.00008,22.82151,-49.34629,-4.68019,204.7
BTC-24JUN22-250000-P,5.31,2,-,0.0015,7.1563,-,-,-,1.1,-1,-,-,-,-107.81488,-
BTC-24JUN22-80000-C,0.0005,-,-,-,-,0.0005,167.99,76,824.3,0.00002,-,0.00485,-0.01675,0.00022,-
BTC-24JUN22-80000-P,1.9155,1,-,0.1,1.61,-,-,-,22.9,-0.99998,-,0.00485,-0.01675,-34.50054,-
BTC-24JUN22-46000-C,0.0005,75.6,80.32,0.0005,0.0007,0.001,87.71,87.7,501,0.01247,0.00001,2.05473,-5.47756,0.15533,16
BTC-24JUN22-70000-P,1.372,1,-,1.1155,1.2838,1.47,500,1.2,336.3,-0.99993,-,0.01848,-0.05974,-30.18726,-
BTC-24JUN22-100000-P,2.66,2,-,0.0015,2.2625,-,-,-,1.7,-1,-,0.00096,-0.00373,-43.12591,-
BTC-24JUN22-75000-P,-,-,-,-,1.4469,-,-,-,-,-0.99997,-,0.00931,-0.03118,-32.34403,-
BTC-24JUN22-65000-C,0.0005,-,-,-,-,0.0005,136.3,72,1696.2,0.00028,-,0.06582,-0.21279,0.0035,5
BTC-24JUN22-30000-P,0.043,6,65.24,0.0435,0.0439,0.0445,66.47,19.5,2651.7,-0.41094,0.00009,24.75716,-51.74408,-6.01281,454.8
BTC-24JUN22-28000-C,0.11,7,66.86,0.107,0.1097,0.1125,75.26,27.5,278,0.75405,0.00007,20.0508,-45.19212,8.51765,0.2
BTC-24JUN22-200000-P,5.03,2,-,0.0015,5.5251,-,-,-,1,-1,-,-,-,-86.2519,-
BTC-24JUN22-38000-P,0.2125,4.2,-,0.2365,0.2437,0.252,88.51,4.2,133.7,-0.9314,0.00003,8.41415,-17.78692,-15.53349,-
BTC-24JUN22-10000-C,0.6635,11,-,0.6715,0.6738,0.6755,253.81,11,1,0.99944,-,0.12509,-0.69624,4.30444,-
BTC-24JUN22-36000-C,0.0075,112.1,61.87,0.007,0.0076,0.008,64.24,22.4,2444.1,0.12347,0.00005,12.99008,-26.12755,1.53149,162.5
BTC-24JUN22-20000-P,0.0025,28.8,108.23,0.002,0.0023,0.0025,112.49,20,5082.9,-0.0242,0.00001,3.61982,-12.71436,-0.34985,85.9
BTC-24JUN22-15000-P,0.0005,113.5,141.38,0.0005,0.0007,0.001,154.4,151.3,3003,-0.00658,-,1.17442,-5.51913,-0.09653,0.1
BTC-24JUN22-20000-C,0.324,7,-,0.346,0.3498,0.353,131.42,10,20.2,0.9758,0.00001,3.62003,-12.71508,8.27532,-
BTC-24JUN22-120000-P,-,-,-,-,2.915,-,-,-,-,-1,-,0.00071,-0.00312,-51.75111,-
BTC-24JUN22-42000-P,0.335,2.2,-,0.01,0.3717,0.7715,500,3,97.7,-0.97452,0.00001,3.78012,-8.97602,-17.79487,-
BTC-24JUN22-28000-P,0.0225,108.1,69.88,0.0225,0.0232,0.0235,71.41,25.2,2155,-0.24595,0.00007,20.0508,-45.19212,-3.55761,223.7
BTC-24JUN22-31000-P,0.0565,8.8,63.16,0.0585,0.0593,0.06,64.97,42,397.1,-0.50751,0.0001,25.38801,-51.68409,-7.49173,152.3
BTC-24JUN22-33000-C,0.0255,45.4,61.34,0.023,0.0236,0.024,62.71,17.8,1557.6,0.30589,0.00009,22.32405,-44.09865,3.73109,156.8
BTC-24JUN22-120000-C,0.0005,-,-,-,-,0.0005,226.94,73,946.2,-,-,0.00071,-0.00312,0.00003,-
BTC-24JUN22-75000-C,0.0005,-,-,-,-,0.0005,158.26,71,1031.4,0.00003,-,0.00931,-0.03119,0.00044,-
BTC-24JUN22-200000-C,0.0005,-,-,-,-,0.0005,297.04,71,574.9,-,-,-,-,-,-
BTC-24JUN22-100000-C,0.0001,-,-,-,-,0.0005,200.85,71.6,2690.8,-,-,0.00096,-0.00373,0.00004,-
BTC-24JUN22-45000-C,0.001,49.3,76.58,0.0005,0.0007,0.001,83.71,74.1,3897.7,0.01298,0.00001,2.12764,-5.41047,0.16211,0.9
BTC-24JUN22-46000-P,0.594,-,-,-,0.5015,0.902,500,3,89.1,-0.98753,0.00001,2.05494,-5.47813,-19.68259,-
BTC-24JUN22-42000-C,0.0015,144.4,70.94,0.001,0.0014,0.002,78.95,151.1,604.8,0.02548,0.00001,3.78012,-8.97602,0.31803,44
